Activity,Sub-Activity,Bill,Vendor,Link Strength,Notes,Last Updated
OH cost,,OH cost,OH cost,Medium,,2026-06-03 20:28:01
AMC,,O&M,O&M,Medium,,2026-06-03 20:28:12
Training,,Training - Progressive Payment,Training - Progressive Payment,Medium,,2026-06-03 20:28:32
Installation at all locations,,Installation progressive-immediate,Installation progressive-immediate,Medium,,2026-06-03 20:29:08
Software-3rd Party/FAT at L&T premises & Despatch to client premises,,60%  upon FAT,SEIMS Supply-Credit 90 days ,Medium,,2026-06-03 20:30:34
Installation at all locations,,20% upon erection,SEIMS Supply-Credit 90 days ,Medium,,2026-06-03 20:30:51
Integration and SAT at all locations*,,10% against Commissioning,SEIMS Supply-Credit 90 days ,Medium,,2026-06-03 20:31:09
Operational acceptance,,10% against handover,SEIMS Supply-Credit 90 days ,Medium,,2026-06-03 20:31:28
Integration and SAT at all locations*,,"90% against supervision of erection, testing & commissioning",I&C- SEIMS-Credit 45 days,Medium,,2026-06-03 20:32:32
Software-3rd Party/FAT at L&T premises & Despatch to client premises,,Receipt-100%,Software  3rd party-30 days,Strong,,2026-06-03 20:35:47
Receipt at client premises,,100% upon receipt of material,Hardware-Cables - credit 90 days,Strong,,2026-06-03 20:36:48
Hardware-IT  workstation receipt at L&T factory,,100% upon receipt of material,Hardware-workstations - credit 90 days,Strong,,2026-06-03 20:37:33
"Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T",,100% upon receipt of material,Hardware - credit 90 days,Strong,,2026-06-03 20:38:52
"Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T",,Receipt of Material at Noida-60%,Hardware- credit 180 days,Strong,,2026-06-03 20:39:43
Installation at all locations,,Erection-20%,Hardware- credit 180 days,Strong,,2026-06-03 20:40:05
Integration and SAT at all locations*,,Commissioning -10%,Hardware- credit 180 days,Strong,,2026-06-03 20:40:18
Operational acceptance,,successful Handing over-10%,Hardware- credit 180 days,Strong,,2026-06-03 20:40:40
