Activity,Sub-Activity,Sub-Milestone,Milestone,Link Strength,Notes,Last Updated
"Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises",,Completion fo FAT and delivery of software to respective site premises-,Software,Medium,,2026-05-30 16:14:54
Software-3rd Party/FAT at L&T premises & Despatch to client premises,,Completion fo FAT and delivery of software to respective site premises-,Software,Medium,,2026-05-30 16:14:59
Integration and SAT at all locations*,,successful completion of Field tests-55%,Software,Medium,,2026-05-30 16:15:31
HardwareUPS/Shipment to client premises,,On shipment of equipment-60%(Interest Component),hardware,Medium,,2026-05-30 16:16:34
Shipment to client premises,,On shipment of equipment-60%(Interest Component),hardware,Medium,,2026-05-30 16:16:52
HardwareUPS/Receipt at client premises,,Receipt of equipment at site-15%,hardware,Medium,,2026-05-30 16:17:38
Receipt at client premises,,Receipt of equipment at site-15%,hardware,Medium,,2026-05-30 16:17:59
Installation at all locations,,Installation at site-85%,Service,Medium,,2026-05-30 16:18:39
Operational acceptance,,operational acceptance,Service,Medium,,2026-05-30 16:19:12
Training,,training,training,Medium,,2026-05-30 16:19:27
DLP charges,,DLP charges,DLP charges,Medium,,2026-05-30 16:19:40
AMC,,AMC,AMC,Medium,,2026-05-30 16:19:47
