Activity,Sub-Activity,Cost,Sales,Notes,Last Updated
Supply of softwares (Software- 3rd),,0.5,1.0,,2026-05-30 12:01:57
Hardware/FAT at vendor premises,,0.72,0.11,,2026-05-30 15:17:06
"Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T",,13.23,34.77,,2026-05-30 15:19:44
Hardware-IT  workstation receipt at L&T factory,,5.65,0.0,,2026-05-30 15:21:15
Software-3rd Party/FAT at L&T premises & Despatch to client premises,,3.78,5.16,,2026-05-30 15:25:56
"Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises",,4.01,27.43,,2026-05-30 15:26:39
Installation at all locations,,22.69,14.02,,2026-05-30 15:27:25
Training,,0.22,0.26,,2026-05-30 15:29:20
DLP charges,,1.29,2.19,,2026-05-30 15:31:14
AMC,,7.74,13.13,,2026-05-30 15:45:11
OH cost,,12.25,0.0,,2026-05-30 15:48:02
