Milestone,Sub-Milestone,Percentage,Sales_From_Activities,Description,Last Updated
Software,Completion fo FAT and delivery of software to respective site premises-,30.0,"Software-3rd Party/FAT at L&T premises & Despatch to client premises,Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises",,2026-05-30 15:56:53
Software,successful completion of Field tests-55%,55.0,"Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises,Software-3rd Party/FAT at L&T premises & Despatch to client premises",,2026-05-30 15:56:53
Software,Operational Accpetance,15.0,"Hardware/FAT at vendor premises,Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T,Software-3rd Party/FAT at L&T premises & Despatch to client premises,Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises,Installation at all locations",,2026-05-30 15:56:53
hardware,On shipment of equipment-60%(Interest Component),70.0,"Hardware/FAT at vendor premises,Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T",,2026-05-30 16:05:04
hardware,Receipt of equipment at site-15%,15.0,"Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T,Hardware/FAT at vendor premises",,2026-05-30 16:05:04
hardware,Operational Accpetance,15.0,"Hardware/FAT at vendor premises,Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T,Software-3rd Party/FAT at L&T premises & Despatch to client premises,Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises,Installation at all locations",,2026-05-30 16:05:04
Service,Installation at site-85%,85.0,Installation at all locations,,2026-05-30 16:08:48
Service,operational acceptance,15.0,"Hardware/FAT at vendor premises,Hardware-IT hardware-server, workstation, switches, firewalls-receipt at L&T,Software-3rd Party/FAT at L&T premises & Despatch to client premises,Software(SIEM, IDS, IAM)-FAT and Despatch/FAT at L&T premises & Despatch to client premises,Installation at all locations",,2026-05-30 16:08:48
training,training,100.0,Training,,2026-05-30 16:09:56
DLP charges,DLP charges,100.0,DLP charges,,2026-05-30 16:12:54
AMC,AMC,100.0,AMC,,2026-05-30 16:13:28
